,name,gender,origin,meaning,url
37991,Diamonique,Female,England,"of high value, brilliant the precious diamond stone.",https://meaning-of-names.com/english-names/diamonique.asp
37992,Dian,Female,French,Divine. Mythological ancient Roman divinity Diana was noted for beauty and swiftness; often depicted as a huntress. Also Diana Princess of Wales..,https://meaning-of-names.com/french-names/dian.asp
37993,Dianda,Female,English,Blend of Deanne (divine) plus variants of Andrea (masculine) and Sandra (protector of man. )..,https://meaning-of-names.com/english-names/dianda.asp
37994,Diandra,Female,English,Blend of Deanne (divine) plus variants of Andrea (masculine) and Sandra (protector of man. )..,https://meaning-of-names.com/english-names/diandra.asp
37995,Diandra,Female,French,Divine. Mythological ancient Roman divinity Diana was noted for beauty and swiftness; often depicted as a huntress. Also Diana Princess of Wales..,https://meaning-of-names.com/french-names/diandra.asp
37996,Diane,Female,French,"The French form of the Latin Diana. Famous bearer: Diane de Poitiers, mistress of Frances King Henri II.Divine. Mythological ancient Roman divinity Diana was noted for beauty and swiftness; often depicted as a huntress. Greek goddess of the moon..",https://meaning-of-names.com/french-names/diane.asp
37997,Diangelo,Male,Italy,"derived from deangelo, from the angel.",https://meaning-of-names.com/italian-names/diangelo.asp
37998,Dianna,Female,French,Divine. Mythological ancient Roman divinity Diana was noted for beauty and swiftness; often depicted as a huntress. Also Diana Princess of Wales..,https://meaning-of-names.com/french-names/dianna.asp
37999,Dianna,Female,Latin-America,"variation of diana, fertile god devine.",https://meaning-of-names.com/latin-american-names/dianna.asp
38000,Diannah,Female,French,Divine. Mythological ancient Roman divinity Diana was noted for beauty and swiftness; often depicted as a huntress. Also Diana Princess of Wales..,https://meaning-of-names.com/french-names/diannah.asp
38001,Dianne,Female,French,"The French form of the Latin Diana. Famous bearer: Diane de Poitiers, mistress of Frances King Henri II.Divine. Mythological ancient Roman divinity Diana was noted for beauty and swiftness; often depicted as a huntress. Greek goddess of the moon..",https://meaning-of-names.com/french-names/dianne.asp
38002,Diantha,Female,English,Modern blend of Diana (divine huntress) and Anthea (flower)..,https://meaning-of-names.com/english-names/diantha.asp
38003,Diataria,Male,America,intelligent pretty in the face.,https://meaning-of-names.com/american-names/diataria.asp
38004,Dichali,Male,Native American,Talks later; speaks a lot..,https://meaning-of-names.com/native-american-names/dichali.asp
38005,Dick,Male,English,Rhyming nickname from medieval times. Richard strong ruler was shortened to Rick then rhymed to Dick..,https://meaning-of-names.com/english-names/dick.asp
38006,Dickie,Male,English,A diminutive of Richard which originated as a rhyming variant of Rick..,https://meaning-of-names.com/english-names/dickie.asp
38007,Dickon,Male,England,"derived from dickens, surname.",https://meaning-of-names.com/english-names/dickon.asp
38008,Dickon,Male,German,Diminutive of Richard: Hard ruler..,https://meaning-of-names.com/german-names/dickon.asp
38009,Dickons,Male,England,"derived from dickens, surname.",https://meaning-of-names.com/english-names/dickons.asp
38010,Dickson,Male,England,derived from dick from richard strong ruler.,https://meaning-of-names.com/english-names/dickson.asp
38011,Dicky,Male,English,A diminutive of Richard which originated as a rhyming variant of Rick..,https://meaning-of-names.com/english-names/dicky.asp
38012,Dido,Female,Greece,the name of a queen of carthage.,https://meaning-of-names.com/greek-names/dido.asp
38013,Diedre,Female,Irish,Melancholy. A variant of the older name Deirdre. In Celtic legend Deirdre died of a broken heart..,https://meaning-of-names.com/irish-names/diedre.asp
38014,Diedrick,Male,Germany,gifted ruler derived from diederick.,https://meaning-of-names.com/german-names/diedrick.asp
38015,Diega,Female,Spain,feminine form of diego supplanter.,https://meaning-of-names.com/spanish-names/diega.asp
38016,Digby,Male,English,Farm by a ditch. From an English surname and place name..,https://meaning-of-names.com/english-names/digby.asp
38017,Diggory,Male,English,Derived from the French egare meaning astray..,https://meaning-of-names.com/english-names/diggory.asp
38018,Dilaawar,Male,Africa,"derived from dilawar, hearty daring.",https://meaning-of-names.com/african-names/dilaawar.asp
38019,Dilkhush,Male,India,happy heart or joy to the heart.,https://meaning-of-names.com/indian-names/dilkhush.asp
38020,Dillan,Male,Welsh,Variant of Dylan: Oceans son..,https://meaning-of-names.com/welsh-names/dillan.asp
38021,Dillian,M or F,America,combination of dillon and gillian.,https://meaning-of-names.com/american-names/dillian.asp
38022,Dillwyn,Male,England,"derived from dilwyn, blessed truth.",https://meaning-of-names.com/english-names/dillwyn.asp
38023,Dillwyn,Male,Welsh,Variant of Dilwyn: Blessed truth..,https://meaning-of-names.com/welsh-names/dillwyn.asp
38024,Dilon,Male,Ireland,"derived from dillon, loyal.",https://meaning-of-names.com/irish-names/dilon.asp
38025,Dilyn,Male,Ireland,"derived from dillon, loyal.",https://meaning-of-names.com/irish-names/dilyn.asp
38026,Dilys,Female,Welsh,"Genuine, perfect, true. This name was first used in Wales in the mid-19th century..",https://meaning-of-names.com/welsh-names/dilys.asp
38027,Dimitre,Male,Russia,"derived from dimitri, earth-lover.",https://meaning-of-names.com/russian-names/dimitre.asp
38028,Dimitri,Male,Greece,from demeter goddess of the harvest.,https://meaning-of-names.com/greek-names/dimitri.asp
38029,Dimitrios,Male,Russia,"variation of dimitri, earth-lover.",https://meaning-of-names.com/russian-names/dimitrios.asp
38030,Dimitry,Male,Russia,"derived from dimitri, earth-lover.",https://meaning-of-names.com/russian-names/dimitry.asp
38031,Dina,Female,Hebrew,"Avenged. Judged and vindicated. Famous bearer: biblical Dinah, Jacobs only daughter..",https://meaning-of-names.com/hebrew-names/dina.asp
38032,Dina,Female,Spanish,Form of Hebrew Dinah. Judged and vindicated. In the bible Dinah was Jacobs only daughter..,https://meaning-of-names.com/spanish-names/dina.asp
38033,Dinah,Female,Hebrew,"Avenged. Judged and vindicated. Famous bearer: biblical Dinah, Jacobs only daughter..",https://meaning-of-names.com/hebrew-names/dinah.asp
38034,Dino,Male,Spanish,Abbreviation of names ending like Bernardino..,https://meaning-of-names.com/spanish-names/dino.asp
38035,Dinora,Female,Hebrew,"Avenged. Judged and vindicated. Famous bearer: biblical Dinah, Jacobs only daughter..",https://meaning-of-names.com/hebrew-names/dinora.asp
38036,Dinora,Female,Spanish,Form of Hebrew Dinah. Judged and vindicated. In the bible Dinah was Jacobs only daughter..,https://meaning-of-names.com/spanish-names/dinora.asp
38037,Dinorah,Female,Hebrew,"Avenged. Judged and vindicated. Famous bearer: biblical Dinah, Jacobs only daughter..",https://meaning-of-names.com/hebrew-names/dinorah.asp
38038,Dion,Male,English,"Variant of Dennis: From the Latin Dionysos or Dionysus, referring to the Greek god of wine..",https://meaning-of-names.com/english-names/dion.asp
38039,Dion,Male,French,Abbreviation of Dionysius..,https://meaning-of-names.com/french-names/dion.asp
38040,Diona,Female,England,from the sacred spring variation of dione.,https://meaning-of-names.com/english-names/diona.asp
38041,Diondra,Female,English,From the sacred spring. Variant of Dione..,https://meaning-of-names.com/english-names/diondra.asp
38042,Dione,Female,English,"Feminine form of Dion: A variant of Dennis, derived from Dionysius, the Greek god of wine. Also From the sacred spring. The mythological Dione was wife to Zeus and mother of Aphrodite..",https://meaning-of-names.com/english-names/dione.asp
38043,Dionizy,Male,Poland,polish form of dionysus god of wine.,https://meaning-of-names.com/polish-names/dionizy.asp
38044,Dionna,Female,English,From the sacred spring. Variant of Dione..,https://meaning-of-names.com/english-names/dionna.asp
38045,Dionne,Female,English,"Feminine form of Dion: A variant of Dennis, derived from Dionysius, the Greek god of wine. Also From the sacred spring. The mythological Dione was wife to Zeus and mother of Aphrodite..",https://meaning-of-names.com/english-names/dionne.asp
38046,Dionte,Male,French,Abbreviation of Dionysius..,https://meaning-of-names.com/french-names/dionte.asp
38047,Dionusios,Male,Latin-America,"derived from dionysus, greek god of wine.",https://meaning-of-names.com/latin-american-names/dionusios.asp
38048,Dionysia,Female,Greece,named for dionysus god of wine.,https://meaning-of-names.com/greek-names/dionysia.asp
38049,Dionysie,Female,Greece,named for dionysus god of wine.,https://meaning-of-names.com/greek-names/dionysie.asp
38050,Dionyza,Female,England,pericles prince of tyre wife to cleon.,https://meaning-of-names.com/english-names/dionyza.asp
38051,Dirce,Female,Greece,killed for abusing children.,https://meaning-of-names.com/greek-names/dirce.asp
38052,Dirk,Male,Dutch,A diminutive of Derek meaning people ruler. Famous bearer: British actor Dirk Bogarde. A Dutch forms of Theodoric..,https://meaning-of-names.com/dutch-names/dirk.asp
38053,Dirk,Male,English,"Variant of Derek: Gifted ruler. People ruler. Variant of the Old German Theodoric. Famous bearer: Derrick was a 17th century hangman at Tyhurn, whose name became synonymous with gallows and now refers to a type of crane...",https://meaning-of-names.com/english-names/dirk.asp
38054,Ditte,Female,Danish,Danish pet form of EDITH or DOROTHEA..,https://meaning-of-names.com/danish-names/ditte.asp
38055,Divers,Male,England,"derived from dives, wealthy man.",https://meaning-of-names.com/english-names/divers.asp
38056,Divyanshu,Male,India,"devine light, light of sun.",https://meaning-of-names.com/indian-names/divyanshu.asp
38057,Diwali,Male,Native American,cherokee name meaning bowl.,https://meaning-of-names.com/native-american-names/diwali.asp
38058,Dix,Male,English,Variant of Dick from Richard strong ruler...,https://meaning-of-names.com/english-names/dix.asp
38059,Dixie,Female,English,Abbreviation of Richard. In the USA Dixie refers to the French word for ten; also to the southern states below the Mason- Dixon line..,https://meaning-of-names.com/english-names/dixie.asp
38060,Dmitr,Male,Russia,"derived from dimitri, earth-lover.",https://meaning-of-names.com/russian-names/dmitr.asp
38061,Doanna,Female,England,american compound of dorothy and anna.,https://meaning-of-names.com/english-names/doanna.asp
38062,Doctor,Male,England,the 7th son of the 7th son.,https://meaning-of-names.com/english-names/doctor.asp
38063,Dodie,Female,England,american compound of dorothy and anna.,https://meaning-of-names.com/english-names/dodie.asp
38064,Dodya,Male,Hebrew,"Variant of David: Cherished. Famous bearers: British pop star David Bowie, American talk-show host David Letterman..",https://meaning-of-names.com/hebrew-names/dodya.asp
38065,Doeg,Female,Israel,careful who acts with uneasiness.,https://meaning-of-names.com/israeli-names/doeg.asp
38066,Dogberry,Male,England,much ado about nothing a constable.,https://meaning-of-names.com/english-names/dogberry.asp
38067,Doggie,M or F,Scottish,"Diminutive of Douglas: From the Gaelic dubhglas meaning dark water, dark stream, or from the dark river..",https://meaning-of-names.com/scottish-names/doggie.asp
38068,Dohate,Male,Native American,Variant of Dohasan: Kiowa name meaning cliff..,https://meaning-of-names.com/native-american-names/dohate.asp
38069,Dohosan,Male,Native American,Variant of Dohasan: Kiowa name meaning cliff..,https://meaning-of-names.com/native-american-names/dohosan.asp
38070,Dolabella,Male,England,antony and cleopatra friend to caesar.,https://meaning-of-names.com/english-names/dolabella.asp
38071,Doll,Female,English,"Diminutive of Dorothy, meaning gift of god. Doll has also come to be used as the name of a childs plaything, and as a colloquial term for an attractive woman..",https://meaning-of-names.com/english-names/doll.asp
38072,Dollie,Female,England,variation of the greek dorothy meaning gift of god.,https://meaning-of-names.com/english-names/dollie.asp
38073,Dolly,Female,English,"Diminutive of Dorothy, meaning gift of god. Famous bearer: Heroine of the famous film, Hello, Dolly..",https://meaning-of-names.com/english-names/dolly.asp
38074,Dolores,Female,Spanish,"Sorrow. From Maria de los Dolores (the Virgin Mary, or Mary of the Sorrows.).",https://meaning-of-names.com/spanish-names/dolores.asp
38075,Dolphus,Male,Germany,abbreviation of adolphus noble wolf.,https://meaning-of-names.com/german-names/dolphus.asp
38076,Dom,Male,English,Diminutive of Dominick: Lord..,https://meaning-of-names.com/english-names/dom.asp
38077,Dome,Male,England,"diminutive of dominick, lord.",https://meaning-of-names.com/english-names/dome.asp
38078,Domek,Male,England,"derived from dominick, lord.",https://meaning-of-names.com/english-names/domek.asp
38079,Domenic,Male,England,"derived from dominick, lord.",https://meaning-of-names.com/english-names/domenic.asp
38080,Domenick,Male,Italy,"alternate spelling: dominick, dominic, domenic, dominik.",https://meaning-of-names.com/italian-names/domenick.asp
38081,Domenico,Male,English,Variant of Dominick: Lord..,https://meaning-of-names.com/english-names/domenico.asp
38082,Domenico,Male,Spain,derived from the latin dominic of the lord.,https://meaning-of-names.com/spanish-names/domenico.asp
38083,Domenique,Female,France,of the lord variant of dominic.,https://meaning-of-names.com/french-names/domenique.asp
38084,Domhnall,Female,Gaelic,Derived from two Celtic words meaning world mighty..,https://meaning-of-names.com/gaelic-names/domhnall.asp
38085,Domhnall,Male,Scottish,Variant of Dolaidh: World ruler; rules the world..,https://meaning-of-names.com/scottish-names/domhnall.asp
38086,Domicio,Male,England,"derived from dominick, lord.",https://meaning-of-names.com/english-names/domicio.asp
38087,Dominga,Female,Spain,born on sunday of the lord.,https://meaning-of-names.com/spanish-names/dominga.asp
38088,Domingo,Male,English,Variant of Dominick: Lord..,https://meaning-of-names.com/english-names/domingo.asp
38089,Domingos,Male,England,"derived from dominick, lord.",https://meaning-of-names.com/english-names/domingos.asp
38090,Dominic,Male,English,Variant of Dominick: Lord..,https://meaning-of-names.com/english-names/dominic.asp
38091,Dominik,Male,English,Variant of Dominick: Lord..,https://meaning-of-names.com/english-names/dominik.asp
38092,Dominique,Female,English,Feminine form of Dominick: Lord..,https://meaning-of-names.com/english-names/dominique.asp
38093,Domo,Male,England,"derived from dominick, lord.",https://meaning-of-names.com/english-names/domo.asp
38094,Domokos,Male,England,"derived from dominick, lord.",https://meaning-of-names.com/english-names/domokos.asp
38095,Don,Male,English,"A diminutive of Donald, meaning world mighty, or Donovan, meaning dark brown. Frequently used as a name on its own.Abbreviation of any name beginning with Don-. In mythology the Irish Donn was known as king of the underworld..",https://meaning-of-names.com/english-names/don.asp
38096,Don,Male,Italian,Diminutive of Donato: Present..,https://meaning-of-names.com/italian-names/don.asp
38097,Don,Male,Scottish,"Diminutive of Donald: Great cheif, world mighty. From the Gaelic Domhnall. The name Donald has been borne by a number of early Scottish kings. Famous Bearers: Billionaire Donald Trump; actor Donald Sutherland..",https://meaning-of-names.com/scottish-names/don.asp
38098,Dona,Female,Italian,Lady. From the respectful title Donna..,https://meaning-of-names.com/italian-names/dona.asp
38099,Dona,Female,Spain,lady respectful title and f equivalent of don.,https://meaning-of-names.com/spanish-names/dona.asp
38100,Donal,Male,English,"Variant of Donald: From the Gaelic Domhnall, meaning world mighty. Famous bearer: Walt Disneys cartoon character Donald Duck..",https://meaning-of-names.com/english-names/donal.asp
38101,Donal,Male,Scottish,Variant of Donald great chief...,https://meaning-of-names.com/scottish-names/donal.asp
38102,Donald,Male,English,"From the Gaelic Domhnall, meaning world mighty. Famous bearer: Walt Disneys cartoon character Donald Duck..",https://meaning-of-names.com/english-names/donald.asp
38103,Donald,Male,Scottish,"Great cheif, world mighty. From the Gaelic Domhnall. The name Donald has been borne by a number of early Scottish kings. Famous Bearers: Billionaire Donald Trump; actor Donald Sutherland..",https://meaning-of-names.com/scottish-names/donald.asp
38104,Donalda,Female,English,"Feminine form of Donald: From the Gaelic Domhnall, meaning world mighty. Famous bearer: Walt Disneys cartoon character Donald Duck..",https://meaning-of-names.com/english-names/donalda.asp
38105,Donaldina,Female,English,"Feminine form of Donald: From the Gaelic Domhnall, meaning world mighty. Famous bearer: Walt Disneys cartoon character Donald Duck..",https://meaning-of-names.com/english-names/donaldina.asp
38106,Donaldo,Male,Scottish,"Variant of Donald: Great cheif, world mighty. From the Gaelic Domhnall. The name Donald has been borne by a number of early Scottish kings. Famous Bearers: Billionaire Donald Trump; actor Donald Sutherland..",https://meaning-of-names.com/scottish-names/donaldo.asp
38107,Donalt,Male,Scottish,"Variant of Donald: Great cheif, world mighty. From the Gaelic Domhnall. The name Donald has been borne by a number of early Scottish kings. Famous Bearers: Billionaire Donald Trump; actor Donald Sutherland..",https://meaning-of-names.com/scottish-names/donalt.asp
38108,Donat,Male,Italian,Diminutive of Donato: Present..,https://meaning-of-names.com/italian-names/donat.asp
38109,Donati,Male,Italy,"derived from donato, present.",https://meaning-of-names.com/italian-names/donati.asp
38110,Donatien,Male,Italian,Variant of Donato: Present..,https://meaning-of-names.com/italian-names/donatien.asp
38111,Donato,Male,Spanish,Abbreviation of Donatello gift from God...,https://meaning-of-names.com/spanish-names/donato.asp
38112,Donatus,Male,Italy,"derived from donato, present.",https://meaning-of-names.com/italian-names/donatus.asp
38113,Dondre,Male,French,Abbreviation of Dionysius..,https://meaning-of-names.com/french-names/dondre.asp
38114,Donell,Male,Ireland,derived from donald great chief.,https://meaning-of-names.com/irish-names/donell.asp
38115,Donella,Female,Italian,Lady. From the respectful title Donna..,https://meaning-of-names.com/italian-names/donella.asp
38116,Donelle,Female,Italian,Lady. From the respectful title Donna..,https://meaning-of-names.com/italian-names/donelle.asp
38117,Donetta,Female,Italy,lady from the respectful title donna.,https://meaning-of-names.com/italian-names/donetta.asp
38118,Dong-Mei,Female,Chinese,A combination meaning winter and plum..,https://meaning-of-names.com/chinese-names/dong-mei.asp
38119,Donielle,Female,Italy,lady from the respectful title donna.,https://meaning-of-names.com/italian-names/donielle.asp
38120,Donisha,Female,Italy,lady from the respectful title donna.,https://meaning-of-names.com/italian-names/donisha.asp
38121,Donn,Male,English,In mythology the Irish Donn was known as king of the underworld..,https://meaning-of-names.com/english-names/donn.asp
38122,Donn,Male,Irish,Brown. In mythology the Irish Donn was known as king of the underworld..,https://meaning-of-names.com/irish-names/donn.asp
38123,Donna-Marie,Female,Italy,lady from the respectful title donna.,https://meaning-of-names.com/italian-names/donna-marie.asp
38124,Donnalee,Female,Italy,lady from the respectful title donna.,https://meaning-of-names.com/italian-names/donnalee.asp
38125,Donnalyn,Female,Italy,lady from the respectful title donna.,https://meaning-of-names.com/italian-names/donnalyn.asp
38126,Donne,Male,English,Form of Donn. In mythology the Irish Donn was known as king of the underworld..,https://meaning-of-names.com/english-names/donne.asp
38127,Donne,Male,Welsh,Used in honor of 17th century poet John Donne..,https://meaning-of-names.com/welsh-names/donne.asp
38128,Donnel,Male,Scottish,Variant of Donald great chief...,https://meaning-of-names.com/scottish-names/donnel.asp
38129,Donnell,Male,Ireland,derived from donald great chief.,https://meaning-of-names.com/irish-names/donnell.asp
38130,Donnell,Male,Scottish,Variant of Donald great chief...,https://meaning-of-names.com/scottish-names/donnell.asp
38131,Donni,Female,Italy,lady from the respectful title donna.,https://meaning-of-names.com/italian-names/donni.asp
38132,Donnie,Male,English,Form of Donn. In mythology the Irish Donn was known as king of the underworld..,https://meaning-of-names.com/english-names/donnie.asp
38133,Donnie,Female,Italian,Lady. From the respectful title Donna..,https://meaning-of-names.com/italian-names/donnie.asp
38134,Donny,Male,English,"Diminutive of Donald: From the Gaelic Domhnall, meaning world mighty. Also a form of Donn. In mythology the Irish Donn was known as king of the underworld..",https://meaning-of-names.com/english-names/donny.asp
38135,Donny,Male,Gaelic,Form of Donn. In mythology the Irish Donn was known as king of the underworld..,https://meaning-of-names.com/gaelic-names/donny.asp
38136,Donny,Male,Scottish,"Diminutive of Donald: Great cheif, world mighty..",https://meaning-of-names.com/scottish-names/donny.asp
38137,Donogh,Male,Ireland,"derived from donagh, brown warrior.",https://meaning-of-names.com/irish-names/donogh.asp
38138,Donois,Male,Hebrew,Variant of Daniel: God is my judge..,https://meaning-of-names.com/hebrew-names/donois.asp
38139,Donois,Male,Israel,"derived from daniel, god is my judge.",https://meaning-of-names.com/israeli-names/donois.asp
38140,Donough,Male,Ireland,"derived from donagh, brown warrior.",https://meaning-of-names.com/irish-names/donough.asp
38141,Donoven,Male,Ireland,"derived from donovan, dark.",https://meaning-of-names.com/irish-names/donoven.asp
38142,Donovon,Male,Ireland,"derived from donovan, dark.",https://meaning-of-names.com/irish-names/donovon.asp
38143,Dontae,Male,England,contemporary phonetic variation of dante enduring.,https://meaning-of-names.com/english-names/dontae.asp
38144,Dontay,Male,English,Contemporary phonetic variant of Dante enduring...,https://meaning-of-names.com/english-names/dontay.asp
38145,Dontay,Male,Latin-America,"variation of dante, everlasting.",https://meaning-of-names.com/latin-american-names/dontay.asp
38146,Dontaye,Male,England,contemporary phonetic variation of dante enduring.,https://meaning-of-names.com/english-names/dontaye.asp
38147,Donte,Male,England,contemporary phonetic variation of dante enduring.,https://meaning-of-names.com/english-names/donte.asp
38148,Dontell,Male,English,Contemporary phonetic variant of Dante enduring...,https://meaning-of-names.com/english-names/dontell.asp
38149,Dontell,Male,Latin-America,"variation of dante, everlasting.",https://meaning-of-names.com/latin-american-names/dontell.asp
38150,Dontrell,Male,England,contemporary phonetic variation of dante enduring.,https://meaning-of-names.com/english-names/dontrell.asp
38151,Donya,Female,Italy,lady from the respectful title donna.,https://meaning-of-names.com/italian-names/donya.asp
38152,Donzel,Male,Italian,Abbreviation of Donatello gift from God...,https://meaning-of-names.com/italian-names/donzel.asp
38153,Donzel,Male,Spain,abbreviation of donatello gift from god.,https://meaning-of-names.com/spanish-names/donzel.asp
38154,Doogan,Male,Ireland,"derived from dugan, swarthy.",https://meaning-of-names.com/irish-names/doogan.asp
38155,Doogie,Male,English,"Diminutive of Douglas: Dark water. In the seventeenth century, this name was as popular for girls as for boys..",https://meaning-of-names.com/english-names/doogie.asp
38156,Dora,Female,English,"Originally a diminutive of Dorothea, Dorothy, or any name ending in -dora. It has become common as a name on its own. Famous bearer: William Wordsworths daughter was known in later life as Dora..",https://meaning-of-names.com/english-names/dora.asp
38157,Doran,Male,English,Variant of Dorran stranger...,https://meaning-of-names.com/english-names/doran.asp
38158,Dorbeta,Female,Spain,reference to the virgin mary.,https://meaning-of-names.com/spanish-names/dorbeta.asp
38159,Dorean,Male,Greece,"derived from dorian, place name in greece.",https://meaning-of-names.com/greek-names/dorean.asp
38160,Doreen,Female,English,"Variant of Dorothy or Dorothea, meaning Gift of God..",https://meaning-of-names.com/english-names/doreen.asp
38161,Dores,Female,Portuguese,A Portuguese version of the Spanish name Dolores..,https://meaning-of-names.com/portuguese-names/dores.asp
38162,Dorette,Female,English,"Variant of Dora: Originally a diminutive of Dorothea, Dorothy, or any name ending in -dora. It has become common as a name on its own. Famous bearer: William Wordsworths daughter was known in later life as Dora..",https://meaning-of-names.com/english-names/dorette.asp
38163,Dorian,Male,English,Descendant of Dorus. Dorian was a character in Oscar Wildes novel The Picture of Dorian Gray who was given his wish that his portrait would age while he remained young and handsome..,https://meaning-of-names.com/english-names/dorian.asp
38164,Doriana,Female,Greece,of the sea descendant of dorus.,https://meaning-of-names.com/greek-names/doriana.asp
38165,Dorianna,Female,Greece,of the sea descendant of dorus.,https://meaning-of-names.com/greek-names/dorianna.asp
38166,Dorianne,Female,Greece,of the sea descendant of dorus.,https://meaning-of-names.com/greek-names/dorianne.asp
38167,Dorien,Male,English,Descendant of Dorus. Dorian was a character in Oscar Wildes novel The Picture of Dorian Gray who was given his wish that his portrait would age while he remained young and handsome..,https://meaning-of-names.com/english-names/dorien.asp
38168,Dorinda,Female,English,"Variant of Dorothy or Dorothea, meaning Gift of God..",https://meaning-of-names.com/english-names/dorinda.asp
38169,Dorion,Male,English,Descendant of Dorus. Dorian was a character in Oscar Wildes novel The Picture of Dorian Gray who was given his wish that his portrait would age while he remained young and handsome..,https://meaning-of-names.com/english-names/dorion.asp
38170,Dorion,Male,Greece,"variation of dorian, place name in greece.",https://meaning-of-names.com/greek-names/dorion.asp
38171,Dorit,Female,America,form of doris - wealth of the sea.,https://meaning-of-names.com/american-names/dorit.asp
38172,Dorit,Female,English,Variant of the Greek Dorothy meaning Gift of God..,https://meaning-of-names.com/english-names/dorit.asp
38173,Dorita,Female,English,"Variant of Dora: Originally a diminutive of Dorothea, Dorothy, or any name ending in -dora. It has become common as a name on its own. Famous bearer: William Wordsworths daughter was known in later life as Dora..",https://meaning-of-names.com/english-names/dorita.asp
38174,Doro,Female,England,variation of the greek dorothy meaning gift of god.,https://meaning-of-names.com/english-names/doro.asp
38175,Doroata,Female,Poland,"polish form of dorothy, gift from god.",https://meaning-of-names.com/polish-names/doroata.asp
38176,Doron,Male,English,Variant of Dorran stranger..,https://meaning-of-names.com/english-names/doron.asp
38177,Doron,Male,Irish,Variant of Dorran stranger...,https://meaning-of-names.com/irish-names/doron.asp
38178,Dorotha,Female,English,Variant of the Greek Dorothy meaning Gift of God..,https://meaning-of-names.com/english-names/dorotha.asp
38179,Dorothee,Female,England,variation of the greek dorothy meaning gift of god.,https://meaning-of-names.com/english-names/dorothee.asp
38180,Dorothy,Female,English,"Gift of God. A variant of Dorothea and the most common form of the name in English- speaking countries. Famous bearer: the young heroine of The Wizard of Oz, played by Judy Garland in the film..",https://meaning-of-names.com/english-names/dorothy.asp
38181,Dorrance,Male,England,derived from dorran stranger.,https://meaning-of-names.com/english-names/dorrance.asp
38182,Dorrance,Male,Irish,Variant of Dorran stranger...,https://meaning-of-names.com/irish-names/dorrance.asp
38183,Dorrel,Male,England,derived from dorran stranger.,https://meaning-of-names.com/english-names/dorrel.asp
38184,Dorrel,Male,Irish,Variant of Dorran stranger...,https://meaning-of-names.com/irish-names/dorrel.asp
38185,Dorrell,Male,England,derived from dorran stranger.,https://meaning-of-names.com/english-names/dorrell.asp
38186,Dorrell,Male,Irish,Variant of Dorran stranger...,https://meaning-of-names.com/irish-names/dorrell.asp
38187,Dorren,Male,England,derived from dorran stranger.,https://meaning-of-names.com/english-names/dorren.asp
38188,Dorren,Male,Irish,Variant of Dorran stranger...,https://meaning-of-names.com/irish-names/dorren.asp
38189,Dorrie,Female,English,A diminutive of any feminine name beginning with Dor-..,https://meaning-of-names.com/english-names/dorrie.asp
38190,Dorrin,Male,England,derived from dorran stranger.,https://meaning-of-names.com/english-names/dorrin.asp
38191,Dorrin,Male,Irish,Variant of Dorran stranger...,https://meaning-of-names.com/irish-names/dorrin.asp
38192,Dorryen,Male,Greece,"derived from dorian, place name in greece.",https://meaning-of-names.com/greek-names/dorryen.asp
38193,Dorthe,Female,Danish,The Danish form of Dorothy..,https://meaning-of-names.com/danish-names/dorthe.asp
38194,Dot,Female,English,"Diminutive of Dorothy: Gift of God. A variant of Dorothea and the most common form of the name in English- speaking countries. Famous bearer: the young heroine of The Wizard of Oz, played by Judy Garland in the film..",https://meaning-of-names.com/english-names/dot.asp
38195,Dota,Female,Danish,"From the Old Danish language, commonly thought to mean daughter..",https://meaning-of-names.com/danish-names/dota.asp
38196,Dotta,Female,Danish,"From the Old Danish language, commonly thought to mean daughter..",https://meaning-of-names.com/danish-names/dotta.asp
38197,Dottie,Female,English,Variant of the Greek Dorothy meaning Gift of God..,https://meaning-of-names.com/english-names/dottie.asp
38198,Dottir,Female,Danish,"From the Old Danish language, commonly thought to mean daughter..",https://meaning-of-names.com/danish-names/dottir.asp
38199,Doug,Male,English,"Diminutive of Douglas: Dark water. In the seventeenth century, this name was as popular for girls as for boys..",https://meaning-of-names.com/english-names/doug.asp
38200,Doug,M or F,Scottish,"Diminutive of Douglas: From the Gaelic dubhglas meaning dark water, dark stream, or from the dark river..",https://meaning-of-names.com/scottish-names/doug.asp
38201,Dougald,Male,Scotland,"derived from dougal, dark-skinned stranger.",https://meaning-of-names.com/scottish-names/dougald.asp
38202,Dougall,Male,Scotland,"derived from dougal, dark-skinned stranger.",https://meaning-of-names.com/scottish-names/dougall.asp
38203,Dougan,Male,Ireland,"derived from dugan, swarthy.",https://meaning-of-names.com/irish-names/dougan.asp
38204,Douggan,Male,Ireland,"derived from dugan, swarthy.",https://meaning-of-names.com/irish-names/douggan.asp
38205,Dougherty,Male,Ireland,"derived from doherty, wicked.",https://meaning-of-names.com/irish-names/dougherty.asp
38206,Doughlas,Male,Celtic,Dwells by the dark stream..,https://meaning-of-names.com/celtic-names/doughlas.asp
38207,Dougie,Male,English,"Diminutive of Douglas: Dark water. In the seventeenth century, this name was as popular for girls as for boys..",https://meaning-of-names.com/english-names/dougie.asp
38208,Dougie,M or F,Scottish,"Diminutive of Douglas: From the Gaelic dubhglas meaning dark water, dark stream, or from the dark river..",https://meaning-of-names.com/scottish-names/dougie.asp
38209,Douglas,Male,Celtic,Dwells by the dark stream..,https://meaning-of-names.com/celtic-names/douglas.asp
